READING_TIME,READING_VALUE,weekday,hour,minute
2013-07-13 07:11:09,10.115,5,7,11
2013-07-13 07:41:23,10.115,5,7,41
2013-07-13 08:11:38,11.129000000000001,5,8,11
2013-07-13 08:41:53,13.024000000000001,5,8,41
2013-07-13 09:00:03,13.892000000000001,5,9,0
2013-07-13 09:30:18,13.892000000000001,5,9,30
2013-07-13 10:00:32,13.892000000000001,5,10,0
2013-07-13 10:31:09,13.892000000000001,5,10,31
2013-07-13 11:01:24,13.892000000000001,5,11,1
2013-07-13 11:31:39,13.892000000000001,5,11,31
2013-07-13 12:01:53,13.892000000000001,5,12,1
2013-07-13 12:32:08,13.892000000000001,5,12,32
2013-07-13 13:02:23,13.892000000000001,5,13,2
2013-07-13 13:32:37,13.892000000000001,5,13,32
2013-07-13 14:02:52,13.892000000000001,5,14,2
2013-07-13 14:33:07,13.892000000000001,5,14,33
2013-07-13 15:03:22,13.892000000000001,5,15,3
2013-07-13 15:33:36,13.892000000000001,5,15,33
2013-07-13 16:03:50,13.892000000000001,5,16,3
2013-07-13 16:34:04,13.892000000000001,5,16,34
2013-07-13 17:04:19,13.892000000000001,5,17,4
2013-07-13 17:34:34,13.892000000000001,5,17,34
2013-07-13 18:04:47,13.892000000000001,5,18,4
2013-07-13 18:35:02,13.892000000000001,5,18,35
2013-07-13 19:05:16,13.892000000000001,5,19,5
2013-07-13 19:35:31,13.892000000000001,5,19,35
2013-07-13 20:05:46,13.892000000000001,5,20,5
2013-07-13 20:36:01,13.892000000000001,5,20,36
2013-07-13 21:06:16,13.892000000000001,5,21,6
2013-07-13 21:36:30,13.892000000000001,5,21,36
2013-07-13 22:06:45,13.892000000000001,5,22,6
2013-07-13 22:37:00,13.892000000000001,5,22,37
2013-07-13 23:07:16,13.892000000000001,5,23,7
2013-07-13 23:37:29,13.892000000000001,5,23,37
2013-07-14 00:07:44,13.892000000000001,6,0,7
2013-07-14 00:37:59,13.892000000000001,6,0,37
2013-07-14 01:08:13,13.892000000000001,6,1,8
2013-07-14 01:38:29,13.892000000000001,6,1,38
2013-07-14 02:08:43,13.892000000000001,6,2,8
2013-07-14 02:38:58,13.892000000000001,6,2,38
2013-07-14 03:09:13,13.892000000000001,6,3,9
2013-07-14 03:39:27,13.892000000000001,6,3,39
2013-07-14 04:09:42,13.892000000000001,6,4,9
2013-07-14 04:39:58,13.892000000000001,6,4,39
2013-07-14 05:10:13,13.892000000000001,6,5,10
2013-07-14 05:40:27,13.892000000000001,6,5,40
2013-07-14 06:10:42,13.892000000000001,6,6,10
2013-07-14 06:40:56,13.892000000000001,6,6,40
2013-07-14 07:11:10,13.892000000000001,6,7,11
2013-07-14 07:41:25,13.892000000000001,6,7,41
2013-07-14 08:41:59,13.892000000000001,6,8,41
2013-07-14 09:00:04,13.892000000000001,6,9,0
2013-07-14 09:30:19,13.892000000000001,6,9,30
2013-07-14 10:31:14,13.892000000000001,6,10,31
2013-07-14 11:01:32,13.892000000000001,6,11,1
2013-07-14 11:31:46,13.892000000000001,6,11,31
2013-07-14 12:02:01,13.892000000000001,6,12,2
2013-07-14 12:32:15,13.892000000000001,6,12,32
2013-07-14 13:02:30,13.892000000000001,6,13,2
2013-07-14 13:32:44,13.892000000000001,6,13,32
2013-07-14 14:02:59,13.892000000000001,6,14,2
2013-07-14 14:33:15,13.892000000000001,6,14,33
2013-07-14 15:03:29,13.892000000000001,6,15,3
2013-07-14 15:33:44,13.892000000000001,6,15,33
2013-07-14 16:03:59,13.892000000000001,6,16,3
2013-07-14 16:34:14,13.892000000000001,6,16,34
2013-07-14 17:04:28,13.892000000000001,6,17,4
2013-07-14 17:34:43,13.892000000000001,6,17,34
2013-07-14 18:04:58,13.892000000000001,6,18,4
2013-07-14 19:35:51,13.892000000000001,6,19,35
2013-07-14 20:06:06,13.892000000000001,6,20,6
2013-07-14 20:36:21,13.892000000000001,6,20,36
2013-07-14 21:06:35,13.892000000000001,6,21,6
2013-07-14 21:36:50,13.892000000000001,6,21,36
2013-07-14 22:07:05,13.892000000000001,6,22,7
2013-07-14 22:37:19,13.892000000000001,6,22,37
2013-07-14 23:07:34,13.892000000000001,6,23,7
2013-07-14 23:37:49,13.892000000000001,6,23,37
2013-07-15 00:08:04,13.892000000000001,0,0,8
2013-07-15 00:38:18,13.892000000000001,0,0,38
2013-07-15 01:08:33,13.892000000000001,0,1,8
2013-07-15 01:38:47,13.892000000000001,0,1,38
2013-07-15 02:09:01,13.892000000000001,0,2,9
2013-07-15 02:39:16,13.892000000000001,0,2,39
2013-07-15 03:09:30,13.892000000000001,0,3,9
2013-07-15 03:39:45,13.892000000000001,0,3,39
2013-07-15 05:10:38,13.892000000000001,0,5,10
2013-07-15 05:40:53,13.892000000000001,0,5,40
2013-07-15 06:11:06,13.892000000000001,0,6,11
2013-07-15 06:41:21,13.892000000000001,0,6,41
2013-07-15 07:11:35,13.892000000000001,0,7,11
2013-07-15 07:41:50,13.892000000000001,0,7,41
2013-07-15 08:12:06,13.892000000000001,0,8,12
2013-07-15 08:42:20,13.892000000000001,0,8,42
2013-07-15 09:00:05,13.892000000000001,0,9,0
2013-07-15 09:30:19,13.892000000000001,0,9,30
2013-07-15 10:00:33,13.892000000000001,0,10,0
2013-07-15 10:31:10,13.892000000000001,0,10,31
2013-07-15 11:01:24,13.892000000000001,0,11,1
2013-07-15 11:31:39,13.892000000000001,0,11,31
2013-07-15 12:01:55,13.892000000000001,0,12,1
2013-07-15 12:32:10,13.892000000000001,0,12,32
2013-07-15 13:02:25,13.892000000000001,0,13,2
2013-07-15 13:32:39,13.892000000000001,0,13,32
2013-07-15 14:02:54,13.892000000000001,0,14,2
2013-07-15 14:33:09,13.892000000000001,0,14,33
2013-07-16 12:23:08,17.653,1,12,23
2013-07-16 12:53:14,17.653,1,12,53
2013-07-16 13:23:28,17.653,1,13,23
2013-07-16 13:53:42,17.653,1,13,53
2013-07-16 14:23:52,17.653,1,14,23
2013-07-16 14:53:58,17.653,1,14,53
2013-07-16 15:24:13,17.653,1,15,24
2013-07-16 15:54:27,17.653,1,15,54
